DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity
2016,NonResidential,Other,3,DOWNTOWN,1985,1.0,19,385274,0,385274,Other,Other,385274.0,Aucun,0.0,Aucun,0.0,,124.2227894952683,128.6000061,229.5,232.8999939,47859811.0,49539212.0,0.0,18257661.0,29602150.0,1699.45,4.41
2016,NonResidential,Hotel,4,NORTHEAST,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,Aucun,0.0,84.0,41.35287610619469,63.29999924,148.0,148.5,3663534.0,3673186.75,0.0,2266231.0,1397303.0,90.01,1.02
2016,NonResidential,University,7,DOWNTOWN,1928,1.0,7,126593,0,126593,College/University,College/University,126593.0,Aucun,0.0,Aucun,0.0,,89.60752174290838,97.5,173.0,180.0,11343685.0,12183313.0,0.0,4647474.0,6696211.0,388.04,3.07
2016,NonResidential,Other,7,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,Aucun,0.0,Aucun,0.0,,19.490598595739616,19.5,61.20000076,61.20000076,1310236.0,1310236.625,0.0,1310236.0,0.0,9.13,0.14
2016,NonResidential,Hotel,7,EAST,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,33.5781844765434,46.29999924,58.0,58.79999924,5328052.0,5424942.0,0.0,572307.0,4755745.0,256.57,1.62
2016,NonResidential,Hotel,7,DOWNTOWN,2001,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,Aucun,0.0,Aucun,0.0,57.0,64.36360885806384,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,0.0,5610706.0,5451210.0,328.63,1.91
2016,NonResidential,Hotel,7,DOWNTOWN,1978,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,Aucun,0.0,Aucun,0.0,57.0,65.14711299517614,95.0,199.6999969,206.3000031,4456714.0,4557974.0,0.0,2346349.0,2110365.0,128.44,1.88
2016,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,1906,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,87262.0,Aucun,0.0,Aucun,0.0,,47.51117324837845,69.80000305,106.5,115.9000015,4145920.0,4703690.0,0.0,1352843.0,2793077.0,157.77,1.81
2016,NonResidential,Hotel,4,NORTHEAST,1994,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,Aucun,0.0,Aucun,0.0,29.0,81.45213811972494,82.19999695,162.5,164.8999939,6668568.0,6731281.5,0.0,3016399.0,3652169.0,215.0,2.63
2016,NonResidential,Self-Storage Facility,4,NORTHEAST,1955,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,110356.0,Aucun,0.0,Aucun,0.0,,2.884890717314872,12.39999962,35.20000076,35.5,318365.0,326223.0938,0.0,281265.0,37100.0,3.93,0.04
