,SiteEnergyUse_kBtu,TotalGHGEmissions
574,3460275.0,99.15
145,18221220.7969,139.72
318,4765753.0,33.22
651,478690.0,3.34
457,15272489.0,390.67
144,3743228.0,26.1
912,1324092.0,51.1
1295,5525072.0,50.32
1269,5475366.0,38.17
936,847419.0,15.35
1154,981009.0,6.84
83,3242078.0,49.58
154,13843864.0,216.24
1276,1363192.0,9.5
1019,229857.0,1.6
592,90559.0,0.63
127,41377888.0,313.3
1231,861644.0,22.18
403,12729856.0,88.74
150,69519805.5,546.65
863,2640980.0,112.34
413,1015060.0,7.08
708,966677.0,31.61
787,1213870.0,55.3
569,2545405.0,28.41
668,1799664.0,82.34
665,576405.0,9.46
674,1619177.0,11.29
352,2153604.0,65.56
95,9373178.0,309.6
37,6715187.0,199.95
485,11410227.0,106.12
143,1835805.0,46.56
1223,1021754.0,7.12
158,30038487.0,209.41
552,1345026.0,28.81
784,116487.0,0.81
862,1356874.6875,62.05
590,1841154.0,26.11
236,22394414.0,454.49
222,2756215.0,117.11
1245,12184124.0,441.94
1124,2305643.0,16.07
748,1426279.0,35.96
1125,720171.0,5.02
575,845961.0,32.64
62,2646879.0,78.85
193,37785551.0,1468.5
235,4695138.0,32.73
181,3085813.0,21.51
731,2827773.0,44.89
521,509124.0,3.58
658,2227638.0,60.88
1048,1331470.0,44.68
580,888032.0,32.22
382,5417598.0,94.74
1102,1989104.0,65.89
1208,1242666.0,53.02
331,2551023.0,107.16
262,6876438.0,47.94
6,13723819.0,392.16
266,17225443.0,553.27
38,5827595.0,162.39
1265,17463742.0,163.19
545,552007.0,9.95
118,24017769.0,639.39
618,1257033.0,46.64
105,9134962.0,162.41
805,222256.0,1.55
484,602245.0,4.2
892,709991.0,4.95
20,5328052.0,256.57
242,3238216.0,22.57
50,21200976.0,607.41
162,24224886.0,168.88
937,1694931.0,51.27
943,526753.0,3.67
1158,2188051.0,15.25
301,5444253.0,38.55
172,1809102.0,78.92
879,968026.0,26.73
1128,1581352.0,11.02
1292,1399582.0,9.76
975,1063960.0,18.87
901,1280264.0,42.45
704,3735308.0,60.04
210,5327249.75,281.55
344,2853189.0,19.89
306,21027395.0,247.35
217,21156669.0,147.49
1279,1631290.0,22.76
289,2179719.0,28.63
378,25747019.0,185.39
167,5357832.0,46.03
421,6858533.0,168.5
897,2805826.0,19.56
616,243518.0,1.7
12,18588856.5,181.38
522,2559462.0,77.04
1034,771513.0,14.99
68,11765681.0,443.73
90,6744317.0,297.43
1046,1302193.0,42.66
380,17254808.3125,190.1
372,8570570.0,59.75
258,14512785.0,277.98
733,1862177.0,12.98
304,12232122.0,85.28
1166,1522597.0,55.23
410,3241917.0,69.02
1260,8475238.0,270.63
662,1215156.0,8.47
42,3375211.0,87.98
208,13329022.0,92.92
1109,866806.0,37.28
747,3485865.0,104.91
993,2339234.0,64.75
596,2096835.0,89.29
977,1162163.0,26.52
515,1224186.0,24.39
285,2582687.0,76.68
1013,4416909.0,30.79
71,68090717.0,1990.5
561,1553208.0,10.83
179,4383100.0,116.03
751,856089.0,5.97
1219,3724098.0,39.31
493,2655387.0,20.85
116,28731500.0,661.04
293,21795827.0,152.71
76,16319833.0,222.02
48,13795952.0,138.85
686,1149140.0,45.33
1078,188746.0,7.05
1099,331060.0,5.66
332,2843033.0,20.29
576,1132490.0,33.23
622,731322.0,31.6
564,2669564.0,72.78
808,2017968.0,46.44
762,870626.0,18.63
409,4946798.0,97.82
986,620994.0,4.33
1297,627854.0,4.38
829,1700057.0,28.28
288,1794187.0,46.93
630,4704936.0,32.8
524,369291.0,2.57
157,28450433.0,198.34
337,13898181.0,365.79
1230,4236396.0,67.96
496,1165599.0,14.49
46,15473115.5,481.97
864,3239754.0,101.31
462,14469226.0,179.45
759,675773.0,27.97
687,1881516.0,61.98
439,22104509.5,582.28
177,56485202.0,2573.75
984,809292.0,34.04
1050,415365.0,14.37
424,4817062.0,33.58
325,1028377.0,23.86
1001,1486682.0,26.27
664,1934224.0,66.53
350,1904480.0,13.28
447,16246105.0,639.72
17,3663534.0,90.01
871,769771.0,5.37
754,1903455.0,13.27
1214,79712.0,0.87
345,2178074.1875,76.8
861,3046543.0,21.24
313,6361236.0,44.35
753,1467030.0,54.44
451,1968655.0,13.72
170,2933288.0,24.91
699,2883138.8125,73.61
1303,4420650.0,134.8
133,27018016.0,229.25
1181,2171751.0,93.55
