DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity,Age_Building,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,GFA_par_Building,GFA_par_Floor,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Co_stratification,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_SPS-District K-12,BuildingType_H_Campus,PrimaryPropertyType_T_Encoded,Age_Building_groupe,Age_Building_groupe_L
2016,NonResidential,Hotel,7,DOWNTOWN,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,Aucun,0.0,Aucun,0.0,60.0,81.71474772146459,84.30000305,182.5,189.0,7226362.0,7456910.0,2003882.0,3946027.0,1276453.0,249.98,2.83,89.0,0.0,100.0,1.0,88434.0,7369.5,55.0,28.0,18.0,110.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(87.0, 90.0]",15
2016,NonResidential,Hotel,7,DOWNTOWN,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,80.99118436552537,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851.0,5145082.0,295.86,2.86,20.0,14.55,85.45,3.0,103566.0,9415.091,39.0,0.0,61.0,121.0,81.0,14.499999999999998,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(17.0, 22.0]",3
2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,Aucun,0.0,Aucun,0.0,56.0,110.80533675799089,113.3000031,216.1999969,224.0,6794583.25,6946800.5,2214446.25,2768924.0,1811213.0,286.43,4.67,90.0,0.0,100.0,1.0,61320.0,6132.0,41.0,33.0,27.0,127.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(87.0, 90.0]",15
2016,NonResidential,Hotel,7,DOWNTOWN,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Aucun,0.0,75.0,80.71878915594031,118.6999969,211.3999939,215.6000061,14172605.0,14656503.0,0.0,5368607.0,8803998.0,505.01,2.88,36.0,35.31,64.69,3.0,175580.0,9754.444,38.0,0.0,62.0,129.0,70.3,38.7,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(33.0, 37.0]",6
2016,Nonresidential COS,Other,7,DOWNTOWN,1999,1.0,2,97288,37198,60090,Police Station,Office,88830.0,Aucun,0.0,Aucun,0.0,,124.23542471836198,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,301.81,3.1,17.0,38.23,61.77,1.0,97288.0,48644.0,61.0,0.0,39.0,134.0,91.3,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90580.39829884133,"(13.0, 17.0]",2
2016,NonResidential,Hotel,7,DOWNTOWN,1926,1.0,11,83008,0,83008,Hotel,Hotel,83008.0,Aucun,0.0,Aucun,0.0,27.0,69.37638540863531,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215.0,2947580.0,176.14,2.12,90.0,0.0,100.0,1.0,83008.0,7546.182,49.0,0.0,51.0,101.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(87.0, 90.0]",15
2016,NonResidential,Other,7,DOWNTOWN,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Entertainment/Public Assembly,102761.0,Aucun,0.0,Aucun,0.0,,61.28911260108407,68.80000305,141.6999969,152.3000031,6298130.5,7067881.5,2276286.5,3636655.0,385189.0,221.51,2.16,90.0,0.0,100.0,1.0,102761.0,12845.125,58.0,36.0,6.0,93.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90580.39829884133,"(87.0, 90.0]",15
2016,NonResidential,Hotel,7,DOWNTOWN,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,Aucun,0.0,Aucun,0.0,43.0,83.6899880476144,86.59999847,180.8999939,187.1999969,13723819.0,14194054.0,0.0,7297919.0,6425900.0,392.16,2.39,112.0,0.0,100.0,1.0,163984.0,10932.267,53.0,0.0,47.0,112.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(110.0, 116.0]",19
2016,NonResidential,Hotel,7,DOWNTOWN,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,Aucun,0.0,Aucun,0.0,30.0,104.572530572005,124.3000031,228.1999969,233.0,16016642.5,16646930.0,5237165.5,6187627.0,4591850.0,691.26,4.51,47.0,12.59,87.41,1.0,153163.0,13923.909,39.0,33.0,29.0,130.0,87.4,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(43.0, 47.0]",8
2016,NonResidential,Hotel,7,DOWNTOWN,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,Aucun,0.0,Aucun,0.0,36.0,80.86149512569934,80.40000153,199.0,199.3999939,26941109.5,27070114.0,5999360.5,18083049.0,2858700.0,740.97,2.22,18.0,18.36,81.64,1.0,333176.0,13327.04,67.0,22.0,11.0,107.0,101.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(17.0, 22.0]",3
2016,NonResidential,Hotel,7,DOWNTOWN,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,Aucun,0.0,Aucun,0.0,48.0,101.46375886415728,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,1343000.0,3596705.0,328.23,5.05,88.0,0.0,100.0,1.0,65009.0,7223.222,20.0,25.0,55.0,120.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(87.0, 90.0]",15
2016,NonResidential,Hotel,7,DOWNTOWN,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,Aucun,0.0,58.0,70.66061142198815,76.19999695,179.8999939,180.6999969,22325361.5,22524948.0,4337738.5,13904183.0,4083440.0,648.62,2.05,36.0,18.23,81.77,2.0,315952.0,9574.303,62.0,19.0,18.0,103.0,93.5,18.2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(33.0, 37.0]",6
2016,NonResidential,Hotel,7,DOWNTOWN,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,Aucun,0.0,35.0,116.60711031565246,165.8999939,297.3999939,303.8999939,10750009.5,11179203.0,4870847.5,3832369.0,2046793.0,511.39,5.55,94.0,27.33,72.67,2.0,92190.0,8380.909,36.0,45.0,19.0,137.0,73.1,27.3,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(90.0, 96.0]",16
2016,Nonresidential COS,Other,7,DOWNTOWN,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Retail Store,364913.0,Parking,49000.0,Data Center,1074.0,,45.11858373786408,51.09999847,155.6000061,156.0,18588856.5,18706912.0,737559.5,17851297.0,0.0,181.38,0.44,12.0,13.83,86.17,3.0,412000.0,37454.545,96.0,4.0,0.0,65.0,88.6,11.899999999999999,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90580.39829884133,"(8.0, 13.0]",1
2016,NonResidential,Other,7,DOWNTOWN,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Recreation,103911.0,Aucun,0.0,Aucun,0.0,,95.8165689869215,78.40000153,157.3999939,159.6000061,9956395.5,10192124.0,4592347.5,4453868.0,910180.0,433.86,4.18,86.0,0.0,100.0,3.0,103911.0,17318.5,45.0,46.0,9.0,105.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90580.39829884133,"(71.0, 87.0]",14
