,PropertyGFATotal,PropertyGFAParking,GFA_par_Building,GFA_par_Floor,GFABuilding_s,PrimaryPropertyType_T_Encoded,NumBuildings,NmbFloors,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_Campus,BuildingType_H_SPS-District K-12,Age_Building_groupe_L,Co_stratification,ENERGYSTARScore
208,1.773137453536329,4.046080270824325,1.8183073728295052,0.00012385792231316703,0.7628395558039006,2.5408838362441997,1.0,11.0,40.3,11.2,0.0,49.35,50.65,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,94.0,72.0
1109,-0.5510623579197583,-0.32512581792811696,-0.5385619687458243,-0.47231528688663493,-0.54337834486425,-0.7946208380053232,1.0,2.0,100.0,0.0,0.0,0.0,100.0,2.0,22.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,56.0,20.0
747,-0.3686665252711893,-0.32512581792811696,-0.35360233494773036,-0.19105577755095443,-0.32817147100143873,-0.4579573386422699,1.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,86.0,23.0
993,-0.47361164646140247,-0.32512581792811696,-0.46002259084051594,-0.014438213508743795,-0.45199508654431736,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,55.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,101.0,60.0
596,-0.3654256892414639,-0.32512581792811696,-0.3503159449214153,-0.35448221981812245,-0.32434764355685575,-0.4579573386422699,1.0,3.0,100.0,0.0,0.0,0.0,100.0,1.0,23.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,61.0,98.0
977,-0.4559583119905406,-0.32512581792811696,-0.44212111671343424,0.04000566406580469,-0.43116610778114167,-0.060662129925955106,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,66.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,97.0,59.0
515,-0.509972245819297,-0.32512581792811696,-0.49689428381868417,-0.12657634940856008,-0.49489656519085823,-0.42849418777890996,1.0,1.0,100.0,0.0,0.0,0.0,100.0,1.0,72.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,60.0,13.0
285,-0.3140729297135389,-0.32512581792811696,-0.2982413582442777,0.47758817263139214,-0.2637570769756179,-0.42849418777890996,1.0,1.0,100.0,0.0,0.0,0.0,100.0,1.0,51.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,61.0,26.0
1013,-0.4067331744902605,-0.32512581792811696,-0.3922040584478815,-0.39694708322933087,-0.37308589946128656,-0.6809150689530434,1.0,3.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,123.0,3.0
71,1.1864143908540123,-0.32512581792811696,-0.20610721346690106,0.46797110858520136,1.5066517138453046,0.5537247638984673,4.0,5.0,100.0,0.0,0.0,0.0,100.0,2.0,52.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,136.0,14.0
561,-0.5174156293835037,-0.32512581792811696,-0.5044422934319687,-0.5558805444996593,-0.5036789331021972,0.4928554894001949,1.0,4.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,83.0,51.0
179,-0.1107961006945847,-0.32512581792811696,-0.09210721960183714,1.1045053599263794,-0.023912940919050437,-0.060662129925955106,1.0,1.0,100.0,0.0,0.0,0.0,100.0,3.0,58.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,68.0,42.0
751,-0.4995646829596098,-0.32512581792811696,-0.48634042966913604,-0.09447883949520687,-0.482616794128986,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,26.0,33.0
1219,-0.33100827408838435,-0.32512581792811696,-0.3154147500281311,-0.31910046424960337,-0.2837389069756644,-0.20867931955090507,1.0,3.0,100.0,0.0,0.0,0.0,100.0,1.0,92.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,93.0,67.0
493,-0.18317477202511834,0.18614461757280187,-0.16550326352287204,-0.2981761381668478,-0.27728036915767973,-0.060662129925955106,1.0,4.0,34.1,24.8,22.0,27.92,72.08,3.0,98.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,82.0,89.0
116,0.5584497135739099,0.5974887936087994,0.5865456801412595,0.0806354234497961,0.4626146973551273,0.4928554894001949,1.0,5.0,77.2,5.2,0.0,20.53,79.47,2.0,65.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,139.0,1.0
293,-0.0271337868459218,-0.32512581792811696,-0.0072689274794250185,1.3625246468944172,0.07479932000299958,-0.42849418777890996,1.0,1.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,142.0,1.0
76,-0.0587582863961486,-0.32512581792811696,-0.03933794885409635,0.2868314523235525,0.03748591439031065,-0.6809150689530434,1.0,2.0,100.0,0.0,0.0,0.0,100.0,2.0,86.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,137.0,77.0
48,1.3904355582293872,-0.32512581792811696,1.4302261245797594,0.5938136623252379,1.747374086693006,2.5408838362441997,1.0,5.0,100.0,0.0,0.0,0.0,100.0,4.0,93.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,96.0
686,-0.5216115898528839,-0.32512581792811696,-0.5086972333644131,-0.16247274182431648,-0.5086297015619521,-0.7946208380053232,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,30.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,52.0,78.0
1078,-0.5468598103852771,-0.32512581792811696,-0.5343003491588548,-0.5409998951252725,-0.5384198043974939,-0.16436057046716165,1.0,3.0,100.0,0.0,0.0,0.0,100.0,1.0,34.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,5.0,89.0
1099,-0.5310508541427142,-0.32512581792811696,-0.5182691782987817,-0.44145698463449345,-0.5197669875946501,-0.7946208380053232,1.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,78.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,8.0,69.0
332,-0.19014388690204814,-0.32512581792811696,-0.1725703380103543,0.8597923191565993,-0.11753453725532431,-0.5631101842009172,1.0,1.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,36.0,70.0
576,-0.3798118394221961,-0.32512581792811696,-0.3649043104040819,-0.2082421657703828,-0.3413217068474437,-0.060662129925955106,1.0,2.0,100.0,0.0,0.0,0.0,100.0,3.0,52.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,21.0,80.0
